ad_item_id,total_budget,start_date,end_date,status,type,category_ids
185,29800,2024-08-02,2024-08-05,PENDING,PRODUCT,"['88392', '93088']"
216,78000,2024-07-29,2024-08-04,ACTIVE,DISPLAY,"['58552', '64551', '60181']"
644,700,2024-08-01,2024-08-13,PENDING,PRODUCT,"['94132', '40692']"
675,45900,2024-08-05,2024-08-27,PENDING,DISPLAY,['93691']
4362,11400,2024-07-12,2024-08-04,ACTIVE,DISPLAY,['66007']
8117,77000,2024-07-27,2024-08-04,ACTIVE,DISPLAY,"['95489', '73009']"
14367,14000,2024-07-23,2024-08-11,ACTIVE,PRODUCT,['77868']
46691,77700,2024-07-31,2024-08-03,PENDING,PRODUCT,"['37674', '87256']"
64265,35600,2024-07-27,2024-07-29,COMPLETED,PRODUCT,"['49540', '25420', '73525']"
88195,52300,2024-07-21,2024-07-26,COMPLETED,PRODUCT,['40692']
214,68100,2024-08-05,2024-08-09,PENDING,DISPLAY,"['27262', '88392']"
229,68500,2024-07-10,2024-08-06,ACTIVE,DISPLAY,['50546']
856,53600,2024-07-18,2024-08-15,ACTIVE,PRODUCT,"['33164', '73525', '88392']"
2756,76800,2024-07-13,2024-08-07,ACTIVE,PRODUCT,"['49948', '13964', '79991']"
7633,25500,2024-08-04,2024-08-09,PENDING,PRODUCT,"['73009', '62518']"
52331,78000,2024-08-05,2024-09-03,PENDING,PRODUCT,['29501']
53432,26700,2024-07-03,2024-08-01,ACTIVE,DISPLAY,"['73544', '50055', '50207']"
327,24400,2024-07-19,2024-07-23,COMPLETED,PRODUCT,['12836']
892,70200,2024-07-13,2024-07-29,COMPLETED,DISPLAY,"['49948', '17871']"
2333,76500,2024-08-02,2024-08-08,PENDING,DISPLAY,"['62518', '47919']"
5596,36100,2024-07-19,2024-08-15,ACTIVE,PRODUCT,"['40924', '29067', '77868']"
7897,59100,2024-07-19,2024-07-30,ACTIVE,PRODUCT,"['30649', '79974', '47919']"
18342,6600,2024-07-23,2024-08-07,ACTIVE,DISPLAY,"['59794', '16918']"
67854,52000,2024-07-31,2024-08-11,PENDING,PRODUCT,"['56433', '76663']"
99622,74400,2024-07-28,2024-08-02,ACTIVE,PRODUCT,"['53844', '33014', '25420']"
139,49000,2024-07-11,2024-07-30,ACTIVE,PRODUCT,"['60181', '95489']"
174,13800,2024-07-22,2024-08-20,ACTIVE,PRODUCT,"['50055', '62518', '49540']"
249,53900,2024-07-02,2024-07-21,COMPLETED,DISPLAY,['87256']
584,58800,2024-07-16,2024-07-22,COMPLETED,DISPLAY,"['29067', '59794']"
594,38900,2024-07-14,2024-07-27,COMPLETED,DISPLAY,['72294']
998,16100,2024-07-09,2024-07-17,COMPLETED,PRODUCT,"['93862', '68163']"
1897,60700,2024-07-06,2024-07-17,COMPLETED,PRODUCT,['25567']
2233,11800,2024-07-15,2024-08-12,ACTIVE,DISPLAY,"['40681', '49540', '29501']"
2835,50600,2024-07-20,2024-08-15,ACTIVE,PRODUCT,['40924']
6223,62600,2024-07-04,2024-07-24,COMPLETED,PRODUCT,"['12836', '42398', '33291']"
6816,7300,2024-07-08,2024-08-05,ACTIVE,DISPLAY,"['56433', '64551']"
7459,76000,2024-07-25,2024-08-24,ACTIVE,PRODUCT,"['80868', '93691', '29501']"
7639,5500,2024-07-01,2024-07-20,COMPLETED,PRODUCT,['40692']
9167,24800,2024-07-25,2024-08-15,ACTIVE,DISPLAY,"['44385', '44198']"
17624,53800,2024-07-28,2024-08-08,ACTIVE,PRODUCT,"['60181', '52513', '29501']"
19914,27000,2024-07-07,2024-07-16,COMPLETED,DISPLAY,"['59794', '84717']"
31685,51400,2024-07-27,2024-07-30,ACTIVE,PRODUCT,"['79114', '30649']"
35768,69200,2024-07-07,2024-07-12,COMPLETED,PRODUCT,['17603']
54551,36600,2024-08-02,2024-08-11,PENDING,PRODUCT,['60181']
172,56000,2024-07-23,2024-07-27,COMPLETED,DISPLAY,"['50055', '49948', '62518']"
219,33900,2024-07-07,2024-07-11,COMPLETED,PRODUCT,"['16918', '12836']"
894,22300,2024-07-13,2024-07-31,ACTIVE,PRODUCT,['79974']
1479,33500,2024-07-05,2024-07-09,COMPLETED,PRODUCT,"['18924', '25420']"
6538,72800,2024-07-25,2024-08-06,ACTIVE,DISPLAY,"['59794', '94132']"
8221,500,2024-08-02,2024-08-12,PENDING,PRODUCT,"['20691', '18924']"
9438,9900,2024-07-16,2024-08-04,ACTIVE,PRODUCT,"['76977', '94132', '37674']"
9999,12000,2024-07-07,2024-07-22,COMPLETED,DISPLAY,['62518']
49341,38800,2024-07-01,2024-07-07,COMPLETED,PRODUCT,"['68163', '53844']"
59156,18400,2024-08-04,2024-08-25,PENDING,DISPLAY,"['94132', '20691', '93088']"
71799,9900,2024-07-15,2024-07-22,COMPLETED,PRODUCT,"['33164', '72768']"
78171,43000,2024-07-03,2024-07-10,COMPLETED,DISPLAY,"['66930', '95489']"
114,67400,2024-07-29,2024-08-21,ACTIVE,PRODUCT,"['37674', '47919']"
483,26900,2024-07-28,2024-08-01,ACTIVE,PRODUCT,"['29067', '29417', '55054']"
4128,11100,2024-07-05,2024-07-13,COMPLETED,DISPLAY,"['37674', '87256', '93088']"
7841,33800,2024-07-08,2024-07-20,COMPLETED,DISPLAY,['33014']
17235,800,2024-07-09,2024-07-25,COMPLETED,PRODUCT,"['73009', '52513', '72294']"
47547,57900,2024-07-27,2024-08-08,ACTIVE,DISPLAY,"['94960', '40924', '30104']"
64497,900,2024-07-10,2024-07-17,COMPLETED,DISPLAY,"['17871', '58232']"
73842,7900,2024-07-24,2024-07-30,ACTIVE,DISPLAY,"['30649', '58552', '55010']"
5244,72900,2024-08-02,2024-08-23,PENDING,PRODUCT,['16918']
5539,27200,2024-07-13,2024-07-21,COMPLETED,DISPLAY,['79114']
23547,48000,2024-07-05,2024-07-25,COMPLETED,DISPLAY,['24931']
54193,49900,2024-07-03,2024-07-29,COMPLETED,PRODUCT,"['18924', '44405']"
73623,65000,2024-07-12,2024-08-03,ACTIVE,DISPLAY,"['44385', '79114', '55054']"
78851,28100,2024-07-04,2024-07-07,COMPLETED,PRODUCT,"['77868', '14429', '49948']"
365,54800,2024-08-02,2024-08-27,PENDING,PRODUCT,"['17871', '37674', '79974']"
453,63000,2024-07-01,2024-07-21,COMPLETED,PRODUCT,"['20691', '59794']"
514,29600,2024-08-02,2024-08-15,PENDING,DISPLAY,"['24931', '83532', '40681']"
575,60000,2024-07-08,2024-08-06,ACTIVE,PRODUCT,"['58552', '93691', '52026']"
913,28700,2024-07-11,2024-07-18,COMPLETED,DISPLAY,['33291']
3557,8600,2024-07-10,2024-07-11,COMPLETED,PRODUCT,"['74882', '64551', '21413']"
4933,57200,2024-07-01,2024-07-09,COMPLETED,DISPLAY,['47919']
7467,1300,2024-07-12,2024-08-08,ACTIVE,PRODUCT,"['60181', '44405', '40929']"
75682,27700,2024-07-04,2024-07-05,COMPLETED,DISPLAY,['50207']
99646,13000,2024-07-23,2024-08-06,ACTIVE,DISPLAY,"['53844', '64208']"
532,53600,2024-07-09,2024-07-13,COMPLETED,DISPLAY,['29417']
3389,79800,2024-07-07,2024-07-13,COMPLETED,PRODUCT,['33010']
7889,35800,2024-07-28,2024-08-24,ACTIVE,PRODUCT,['80868']
8352,5700,2024-08-01,2024-08-06,PENDING,PRODUCT,"['29067', '24931', '67779']"
26276,53000,2024-08-03,2024-08-11,PENDING,PRODUCT,"['50207', '45463', '29519']"
29642,11500,2024-08-05,2024-08-16,PENDING,DISPLAY,"['25567', '78013', '30104']"
495,4400,2024-07-06,2024-08-04,ACTIVE,PRODUCT,"['40924', '27495']"
223,72000,2024-07-25,2024-08-14,ACTIVE,PRODUCT,['77036']
878,18700,2024-07-03,2024-07-20,COMPLETED,PRODUCT,['94960']
914,68500,2024-07-23,2024-07-28,COMPLETED,DISPLAY,"['52513', '40924']"
4135,33200,2024-07-30,2024-08-09,ACTIVE,PRODUCT,"['56433', '76663', '55010']"
35713,26300,2024-07-04,2024-07-22,COMPLETED,PRODUCT,"['38250', '66930']"
648,38300,2024-07-03,2024-07-14,COMPLETED,DISPLAY,"['74914', '78215']"
767,59200,2024-07-03,2024-07-31,ACTIVE,DISPLAY,['73525']
65875,27200,2024-07-25,2024-07-26,COMPLETED,DISPLAY,"['79114', '95489', '66987']"
384,48100,2024-07-02,2024-07-10,COMPLETED,PRODUCT,"['33014', '52513']"
222,41300,2024-07-28,2024-08-27,ACTIVE,DISPLAY,"['17871', '44198']"
645,5000,2024-07-20,2024-08-18,ACTIVE,DISPLAY,['57574']
4591,79800,2024-08-01,2024-08-04,PENDING,DISPLAY,"['77036', '27495']"
212,29800,2024-08-01,2024-08-17,PENDING,DISPLAY,"['77036', '53844']"
