ad_slot_id,ad_item_id
11,185
11,216
11,644
11,675
11,4362
11,8117
11,14367
11,46691
11,64265
11,88195
12,214
12,229
12,856
12,2756
12,7633
12,52331
12,53432
16,327
16,892
16,2333
16,5596
16,7897
16,8117
16,18342
16,67854
16,99622
18,139
18,174
18,214
18,249
18,584
18,594
18,644
18,675
18,998
18,1897
18,2233
18,2333
18,2756
18,2835
18,4362
18,6223
18,6816
18,7459
18,7639
18,9167
18,17624
18,19914
18,31685
18,35768
18,46691
18,53432
18,54551
23,172
23,185
23,219
23,856
23,894
23,1479
23,6538
23,8221
23,9438
23,9999
23,35768
23,49341
23,59156
23,67854
23,71799
23,78171
31,114
31,174
31,327
31,483
31,584
31,594
31,675
31,1897
31,4128
31,6816
31,7841
31,17235
31,47547
31,64497
31,73842
31,78171
32,327
32,594
32,892
32,2756
32,4362
32,5244
32,5539
32,7633
32,8117
32,9438
32,23547
32,54193
32,64265
32,67854
32,73623
32,78851
34,214
34,229
34,365
34,453
34,514
34,575
34,584
34,594
34,892
34,913
34,2835
34,3557
34,4933
34,6816
34,7467
34,31685
34,53432
34,75682
34,99646
37,172
37,365
37,514
37,532
37,584
37,675
37,894
37,3389
37,5244
37,6223
37,6538
37,7459
37,7841
37,7889
37,8352
37,9999
37,31685
37,49341
37,73623
37,99622
43,219
43,584
43,2835
43,5539
43,7841
43,8117
43,26276
43,29642
43,35768
43,46691
43,54193
43,71799
43,99622
45,229
45,249
45,327
45,495
45,575
45,644
45,892
45,894
45,1479
45,4128
45,5596
45,7889
45,67854
45,73842
45,78171
46,223
46,644
46,856
46,878
46,914
46,998
46,3389
46,4135
46,4362
46,5244
46,5539
46,6223
46,7633
46,7889
46,17235
46,17624
46,23547
46,26276
46,35713
46,73623
59,216
59,249
59,648
59,767
59,856
59,4128
59,7633
59,7897
59,65875
59,73842
59,78851
59,99646
71,172
71,219
71,453
71,7841
71,18342
71,26276
71,29642
71,47547
82,229
82,384
82,648
82,675
82,767
82,2333
82,7841
82,19914
82,47547
82,49341
82,64265
89,223
89,384
89,453
89,644
89,998
89,5244
89,7467
89,7633
89,9999
89,17624
89,23547
89,54193
89,59156
89,64265
89,78851
92,216
92,229
92,384
92,483
92,495
92,648
92,998
92,1897
92,4933
92,35713
92,88195
92,99646
98,114
98,172
98,222
98,532
98,575
98,584
98,644
98,645
98,892
98,2835
98,3389
98,4591
98,7841
98,19914
98,35713
98,53432
98,71799
98,75682
98,78171
99,212
99,998
99,1897
99,2233
99,6816
99,7467
99,7889
99,7897
99,35768
99,47547
99,54193
99,64265
99,73623
99,99622
